Geography Name,Gender,Other religion
England,Female,186110
England,Male,146300
Wales,Female,9405
Wales,Male,6520
North East,Female,5755
North East,Male,4195
North West,Female,15915
North West,Male,12185
Yorkshire and The Humber,Female,13260
Yorkshire and The Humber,Male,10360
East Midlands,Female,14190
East Midlands,Male,10625
West Midlands,Female,17455
West Midlands,Male,14350
East of England,Female,20540
East of England,Male,15840
London,Female,46325
London,Male,40435
South East,Female,30720
South East,Male,23375
South West,Female,21950
South West,Male,14935
